round,metric,weight
31,ACC,0.0223049714
31,AUPRC,0.2072058012
31,AUROC,0.0664838936
31,BalancedAccuracy,0.061131293
31,BrierScore,0.0542118154
31,ECE,0.04570343
31,F1-Score,0.0558680036
31,MCC,0.1673272623
31,NPV,0.0381690168
31,Precision,0.1029226594
31,Recall,0.132462418
31,Specificity,0.0462094353
32,ACC,0.0223058256
32,AUPRC,0.2073464457
32,AUROC,0.066549721
32,BalancedAccuracy,0.0609155397
32,BrierScore,0.0541231983
32,ECE,0.0455477579
32,F1-Score,0.0558155889
32,MCC,0.1669915206
32,NPV,0.0383861687
32,Precision,0.1028444654
32,Recall,0.1329514532
32,Specificity,0.046222315
33,ACC,0.0222841198
33,AUPRC,0.2073430388
33,AUROC,0.0665255633
33,BalancedAccuracy,0.0607557153
33,BrierScore,0.0540110271
33,ECE,0.0454222176
33,F1-Score,0.0557704869
33,MCC,0.1667895709
33,NPV,0.0385708271
33,Precision,0.1028410822
33,Recall,0.1334187586
33,Specificity,0.0462675924
34,ACC,0.0223285846
34,AUPRC,0.2065475984
34,AUROC,0.0665188469
34,BalancedAccuracy,0.0609831708
34,BrierScore,0.0540811763
34,ECE,0.0457068016
34,F1-Score,0.0560175219
34,MCC,0.1673604823
34,NPV,0.0385156964
34,Precision,0.1026007665
34,Recall,0.1331822985
34,Specificity,0.0461570558
35,ACC,0.0223820547
35,AUPRC,0.2062268966
35,AUROC,0.0665512612
35,BalancedAccuracy,0.0608681664
35,BrierScore,0.054338737
35,ECE,0.0459731583
35,F1-Score,0.0560132113
35,MCC,0.1673140872
35,NPV,0.0382375868
35,Precision,0.1031853008
35,Recall,0.1324696819
35,Specificity,0.0464398578
36,ACC,0.0223027251
36,AUPRC,0.2072819355
36,AUROC,0.0666063813
36,BalancedAccuracy,0.0611437239
36,BrierScore,0.0542565376
36,ECE,0.0456569717
36,F1-Score,0.055885741
36,MCC,0.1673280704
36,NPV,0.0382260382
36,Precision,0.102796529
36,Recall,0.1324064114
36,Specificity,0.0461089349
37,ACC,0.0221982999
37,AUPRC,0.2083571264
37,AUROC,0.0667083643
37,BalancedAccuracy,0.0613215433
37,BrierScore,0.054154597
37,ECE,0.0453491441
37,F1-Score,0.0557834557
37,MCC,0.1671697713
37,NPV,0.0382208663
37,Precision,0.1025063866
37,Recall,0.1324188085
37,Specificity,0.0458116366
38,ACC,0.02206115
38,AUPRC,0.2091201374
38,AUROC,0.0664204874
38,BalancedAccuracy,0.0612769775
38,BrierScore,0.0538348708
38,ECE,0.0450523142
38,F1-Score,0.0561160122
38,MCC,0.1676303405
38,NPV,0.038187521
38,Precision,0.1020751521
38,Recall,0.1327480594
38,Specificity,0.0454769775
39,ACC,0.0220206248
39,AUPRC,0.2091909943
39,AUROC,0.0668188508
39,BalancedAccuracy,0.0612180001
39,BrierScore,0.0537180279
39,ECE,0.0451106297
39,F1-Score,0.0560677029
39,MCC,0.1672461472
39,NPV,0.0380874629
39,Precision,0.1021708364
39,Recall,0.1327371435
39,Specificity,0.0456135795
40,ACC,0.0220087804
40,AUPRC,0.2090396665
40,AUROC,0.0671143887
40,BalancedAccuracy,0.0612173472
40,BrierScore,0.0536971414
40,ECE,0.0451669776
40,F1-Score,0.0560123279
40,MCC,0.1671055629
40,NPV,0.0379907782
40,Precision,0.1022747501
40,Recall,0.1326226011
40,Specificity,0.045749678
41,ACC,0.0220879696
41,AUPRC,0.2085043938
41,AUROC,0.0669729126
41,BalancedAccuracy,0.0610197369
41,BrierScore,0.0537885294
41,ECE,0.0451632199
41,F1-Score,0.0559138371
41,MCC,0.1668863398
41,NPV,0.0382539716
41,Precision,0.1024282939
41,Recall,0.1330571639
41,Specificity,0.0459236315
42,ACC,0.0221945333
42,AUPRC,0.2069848136
42,AUROC,0.0666047186
42,BalancedAccuracy,0.0609525227
42,BrierScore,0.0538936902
42,ECE,0.0455583395
42,F1-Score,0.0559486752
42,MCC,0.1671823637
42,NPV,0.0382552
42,Precision,0.1028976524
42,Recall,0.1331934725
42,Specificity,0.0463340183
43,ACC,0.0222531913
43,AUPRC,0.2068841383
43,AUROC,0.0665566244
43,BalancedAccuracy,0.0607898306
43,BrierScore,0.0539359455
43,ECE,0.0455068021
43,F1-Score,0.0558595191
43,MCC,0.1670113896
43,NPV,0.0384672323
43,Precision,0.1028986739
43,Recall,0.1334536165
43,Specificity,0.0463830364
44,ACC,0.0222983595
44,AUPRC,0.2064371661
44,AUROC,0.0664926328
44,BalancedAccuracy,0.0606741033
44,BrierScore,0.0541686783
44,ECE,0.0457931975
44,F1-Score,0.0558547726
44,MCC,0.1669772875
44,NPV,0.0382702741
44,Precision,0.1035267688
44,Recall,0.1328382526
44,Specificity,0.0466685069
45,ACC,0.0223767565
45,AUPRC,0.2063620556
45,AUROC,0.0666925809
45,BalancedAccuracy,0.0608226215
45,BrierScore,0.0544564425
45,ECE,0.0460692688
45,F1-Score,0.0560658964
45,MCC,0.1672107236
45,NPV,0.0379286463
45,Precision,0.1035208794
45,Recall,0.13176713
45,Specificity,0.0467269985
46,ACC,0.0224798462
46,AUPRC,0.2053294005
46,AUROC,0.0664465481
46,BalancedAccuracy,0.0608728763
46,BrierScore,0.054440934
46,ECE,0.0463095225
46,F1-Score,0.0561307516
46,MCC,0.1675882097
46,NPV,0.0379583068
46,Precision,0.1035351871
46,Recall,0.1320407399
46,Specificity,0.0468676773
47,ACC,0.0224891902
47,AUPRC,0.2057040129
47,AUROC,0.0664666312
47,BalancedAccuracy,0.0607583608
47,BrierScore,0.0543413962
47,ECE,0.0460664888
47,F1-Score,0.0560161084
47,MCC,0.1673548284
47,NPV,0.0382347443
47,Precision,0.1032712286
47,Recall,0.1325694075
47,Specificity,0.0467276027
48,ACC,0.0222915468
48,AUPRC,0.206963405
48,AUROC,0.066135058
48,BalancedAccuracy,0.0608784991
48,BrierScore,0.0539568792
48,ECE,0.0455929686
48,F1-Score,0.0562639014
48,MCC,0.1678962599
48,NPV,0.0382452362
48,Precision,0.102659938
48,Recall,0.1329373523
48,Specificity,0.0461789555
49,ACC,0.022271524
49,AUPRC,0.2072664566
49,AUROC,0.0662229175
49,BalancedAccuracy,0.06072814
49,BrierScore,0.0538718185
49,ECE,0.0454449306
49,F1-Score,0.0561088686
49,MCC,0.1672957283
49,NPV,0.0384909398
49,Precision,0.1026551011
49,Recall,0.1334644659
49,Specificity,0.0461791091
50,ACC,0.0221432859
50,AUPRC,0.2083013306
50,AUROC,0.0663444151
50,BalancedAccuracy,0.0610078353
50,BrierScore,0.0538131984
50,ECE,0.0451704385
50,F1-Score,0.0559206103
50,MCC,0.1671076979
50,NPV,0.038474616
50,Precision,0.1024706415
50,Recall,0.133358185
50,Specificity,0.0458877455
